text,emotion
I am very happy today,joy
This is the best day of my life,joy
I feel excited and cheerful,joy
I am smiling a lot today,joy
Everything feels positive,joy
I feel great and energetic,joy

I feel very sad today,sadness
I am feeling low and depressed,sadness
This is a bad and sad day,sadness
I feel lonely and upset,sadness
I feel like crying,sadness
My heart feels heavy,sadness

I am very angry,anger
This makes me furious,anger
I hate this situation,anger
I am annoyed and irritated,anger
I lost my temper,anger
I feel like shouting,anger

I am scared of this,fear
This is very frightening,fear
I feel nervous and afraid,fear
I am scared about the future,fear
This situation scares me,fear
I feel anxious inside,fear

Wow that was unexpected,surprise
That shocked me,surprise
I did not expect this,surprise
What a surprise,surprise
This is unbelievable,surprise
I am amazed by this,surprise

I feel normal today,neutral
Nothing special today,neutral
Just another day,neutral
I am okay,neutral
Everything feels average,neutral
I feel calm and balanced,neutral

I feel overwhelmed with work,stress
There is too much pressure on me,stress
I feel mentally exhausted,stress
I can’t relax at all,stress
Everything feels stressful,stress
I feel burned out,stress

This is disgusting,disgust
I feel sick looking at this,disgust
That smell is horrible,disgust
This is really gross,disgust
I feel repulsed,disgust
That was unpleasant,disgust

I feel bored,boredom
This is so uninteresting,boredom
I have nothing to do,boredom
Everything feels dull,boredom
I feel sleepy and bored,boredom
This day is boring,boredom

I feel loved,love
I care deeply about you,love
My heart is full of love,love
I adore you,love
I feel emotionally connected,love
You mean a lot to me,love

I am grateful for your support,gratitude
Thank you so much,gratitude
I appreciate your help,gratitude
I am thankful for everything,gratitude
Gratitude fills my heart,gratitude
I am blessed to have you,gratitude

I am proud of my achievements,pride
I worked hard for this,pride
I feel accomplished,pride
This is a moment of pride,pride
I deserve this success,pride

I am hopeful for the future,hope
I believe things will get better,hope
There is light at the end of the tunnel,hope
I am optimistic about what’s to come,hope
Hope keeps me going,hope

I feel peaceful and calm,peace
I am at ease with myself,peace
Everything feels tranquil,peace
I am in a state of serenity,peace
Peace surrounds me,peace
